Wall time,Step,Value
1617695863,0,0.292178988
1617695935,1,0.301406384
1617696007,2,0.323155105
1617696080,3,0.313747436
1617696153,4,0.3195225
1617696226,5,0.324075848
1617696299,6,0.316622138
1617696372,7,0.320561171
1617696445,8,0.329096466
1617696518,9,0.334140986
1617696591,10,0.336909056
1617696664,11,0.329983652
1617696737,12,0.333206713
1617696810,13,0.334140569
1617696883,14,0.33561331
1617696956,15,0.330181926
1617697029,16,0.334134102
1617697102,17,0.327610105
1617697175,18,0.321903735
1617697248,19,0.322598934
1617697321,20,0.324641168
1617697394,21,0.327047557
1617697468,22,0.329090983
1617697541,23,0.327143401
1617697613,24,0.328112215
1617697687,25,0.32918942
1617697760,26,0.334607661
1617697832,27,0.337893903
1617697905,28,0.343181282
1617697978,29,0.317306191
1617698052,30,0.327210993
1617698125,31,0.33490485
1617698198,32,0.335825205
1617698271,33,0.329802632
1617698344,34,0.330874652
1617698417,35,0.332424611
1617698490,36,0.333690822
1617698563,37,0.335854948
1617698636,38,0.343615711
1617698709,39,0.343717
1617698782,40,0.34572
1617698855,41,0.344788526
1617698928,42,0.343840671
1617699001,43,0.343892815
1617699074,44,0.34594496
1617699147,45,0.343997105
1617699220,46,0.345049249
1617699293,47,0.344101394
1617699366,48,0.344153539
1617699439,49,0.343539017
1617699512,50,0.343091162
