Wall time,Step,Value
1617695863,0,1.382365465
1617695935,1,1.36734879
1617696007,2,1.337252259
1617696080,3,1.343593359
1617696153,4,1.331137657
1617696226,5,1.329675913
1617696299,6,1.343799233
1617696372,7,1.334490538
1617696445,8,1.318647981
1617696518,9,1.307271242
1617696591,10,1.297840714
1617696664,11,1.313180566
1617696737,12,1.30243504
1617696810,13,1.29988718
1617696883,14,1.291518331
1617696956,15,1.314318419
1617697029,16,1.302387595
1617697102,17,1.314477801
1617697175,18,1.32806468
1617697248,19,1.325124025
1617697321,20,1.320163012
1617697394,21,1.31621933
1617697468,22,1.311864614
1617697541,23,1.31966567
1617697613,24,1.31548667
1617697687,25,1.313041449
1617697760,26,1.301278949
1617697832,27,1.296609879
1617697905,28,1.285825729
1617697978,29,1.333010316
1617698052,30,1.314676404
1617698125,31,1.299013615
1617698198,32,1.296029329
1617698271,33,1.31315577
1617698344,34,1.312799811
1617698417,35,1.309334755
1617698490,36,1.305788636
1617698563,37,1.295984149
1617698636,38,1.280335188
1617698709,39,1.279568
1617698782,40,1.278800812
1617698855,41,1.278033624
1617698928,42,1.277266436
1617699001,43,1.276499248
1617699074,44,1.276732063
1617699147,45,1.274964873
1617699220,46,1.272197685
1617699293,47,1.273430497
1617699366,48,1.272663309
1617699439,49,1.270896121
1617699512,50,1.271128933
